00	DV	Divehi
01	CY	Welsh
02	--	Syriac
03	--	Northern Sotho
07	NE	Nepali
0C	QU	Quechua
10	BN	Bengali
11	PA	Panjabi
12	GU	Gujarati
13	OR	Oriya
14	ST	Southern Sotho
15	SE	Northern Sami
16	KA	Georgian
17	HI	Hindi
18	AS	Assamese
19	MR	Marathi
1A	SA	Sanskrit
1B	--	Konkani
1C	TA	Tamil
1D	TE	Telugu
1E	KN	Kannada
1F	ML	Malayalam
40	NB	Norwegian
41	PL	Polish
42	PT	Portuguese
43	RM	Romansh
44	IT	Italian
45	JA	Japanese
46	KO	Korean
47	NL	Dutch
48	SQ	Albanian
49	SV	Swedish
4A	TH	Thai
4B	TR	Turkish
4C	RO	Romanian
4D	RU	Russian
4E	HR	Croatian/Serbian/Bosnian
4F	SK	Slovak
50	ZH	Chinese
51	CS	Czech
52	DA	Danish
53	DE	German
55	AR	Arabic
56	BG	Bulgarian
57	CA	Catalan
58	FR	French
59	HE	Hebrew
5A	HU	Hungarian
5B	IS	Icelandic
5C	EL	Greek
5D	EN	English
5E	ES	Spanish
5F	FI	Finnish
60	FO	Faroese
61	MT	Maltese
62	GA	Irish
63	MS	Malay
65	XH	Xhosa
66	ZU	Zulu
67	AF	Afrikaans
68	UZ	Uzbek
69	TT	Tatar
6A	MN	Mongolian
6B	GL	Galician
6C	KK	Kazakh
6D	SW	Swahili
6E	TL	Tagalog
6F	KY	Kirghiz
70	SL	Slovenian
71	ET	Estonian
72	LV	Latvian
73	LT	Lithuanian
74	UR	Urdu
75	ID	Indonesian
76	UK	Ukrainian
77	BE	Belarusian
78	AZ	Azerbaijani
79	EU	Basque
7A	--	Sorbian
7B	MK	Macedonian
7C	MI	Maori
7D	FA	Persian
7E	VI	Vietnamese
7F	HY	Armenian
